sample,patient_id,tissue_site,cell_type_clean,Cell_subtype,n_cells,T_CELL_EXHAUSTION,CYTOTOXICITY,MYELOID_INFLAMMATION,MACROPHAGE_LIKE,EMT_INVASION,HYPOXIA,PROLIFERATION
BRONCHO_11,11,advanced_airway_tumor,T lymphocytes,Naive CD8+ T,64,0.18910322234375,0.71535629515625,0.29030001140625,0.17745116984375,0.3276170075,0.420534293125,0.19774770265625
BRONCHO_11,11,advanced_airway_tumor,T lymphocytes,Treg,53,0.4677799432075472,0.13372350113207548,0.16027037679245285,0.15910570830188678,0.2755916958490566,0.4415684718867925,0.19422583528301887
BRONCHO_11,11,advanced_airway_tumor,T lymphocytes,Undetermined,2,0.42853474,1.551034,0.2590044475,0.2043625875,0.5109670900000001,0.9324570350000001,1.8613232499999999
BRONCHO_58,58,advanced_airway_tumor,B lymphocytes,Follicular B cells,105,0.017009583809523807,0.0315917959047619,0.08973240047619048,0.07560124504761905,0.15933452552380953,0.23553201104761903,0.09951417142857143
BRONCHO_58,58,advanced_airway_tumor,B lymphocytes,GC B cells in the DZ,1,0.0,0.0,0.0,0.0,0.0,0.5515261,1.0384928
BRONCHO_58,58,advanced_airway_tumor,B lymphocytes,MALT B cells,30,0.013267382733333333,0.11990483633333333,0.17934460713333333,0.15484525686666664,0.18150000216666667,0.23365152333333333,0.07574032829999999
BRONCHO_58,58,advanced_airway_tumor,B lymphocytes,Plasma cells,22,0.013929363636363636,0.04692812181818182,0.04963507590909091,0.05890448863636364,0.06810960745454546,0.13323387272727272,0.012360301818181818
BRONCHO_58,58,advanced_airway_tumor,B lymphocytes,Undetermined,4,0.061474015,0.627479555,0.1983906825,0.051458955,0.34382366,0.3689994175,0.10031741250000001
BRONCHO_58,58,advanced_airway_tumor,Epithelial cells,Malignant cells,460,0.013927103301086957,0.08271320451739131,0.585944128347826,0.11995918972391303,0.3898396561413044,0.9375993417173913,0.2081756979347826
BRONCHO_58,58,advanced_airway_tumor,Fibroblasts,COL13A1+ matrix FBs,13,0.018000561076923077,0.09167526492307693,0.09390428876923076,0.12957717876923078,0.7317344553846153,0.6014653261538462,0.14738642000000002
BRONCHO_58,58,advanced_airway_tumor,Fibroblasts,EPCs,1,0.19148266,1.0530013,0.38296533,0.27824697,0.5609509,0.5687698,0.27824697
BRONCHO_58,58,advanced_airway_tumor,Fibroblasts,Lymphatic ECs,1,0.063298516,0.10906411,0.23566115,0.20823054,0.7999044,0.4372159,0.36418116
BRONCHO_58,58,advanced_airway_tumor,Fibroblasts,Myofibroblasts,45,0.010808128222222223,0.07278164124444444,0.12308297224444444,0.1325517701111111,1.1962522233333333,0.5822930326666667,0.11004890646666667
BRONCHO_58,58,advanced_airway_tumor,Fibroblasts,Pericytes,8,0.0,0.028661015,0.16506042437500001,0.27555597625,1.0899368725,0.5036984075000001,0.05579276625
BRONCHO_58,58,advanced_airway_tumor,Fibroblasts,Smooth muscle cells,6,0.06030234833333333,0.06030234833333333,0.10478721333333334,0.06153401666666666,0.7753816833333333,0.6175404766666667,0.019997913333333332
BRONCHO_58,58,advanced_airway_tumor,Fibroblasts,Tumor ECs,10,0.008298150399999999,0.042499434600000004,0.133048664,0.10802352200000001,0.644572447,0.570135981,0.141375945
BRONCHO_58,58,advanced_airway_tumor,Fibroblasts,Undetermined,1,0.0,0.0,0.0,0.25330427,0.4342359,0.6634391,0.0
BRONCHO_58,58,advanced_airway_tumor,Myeloid cells,Activated DCs,2,0.037925247,0.06692735,0.47415074,0.037925247,0.76439073,0.8483818650000001,0.1158599
BRONCHO_58,58,advanced_airway_tumor,Myeloid cells,Alveolar Mac,46,0.11573221304347826,0.09323860328260869,1.269550740652174,2.436195606521739,0.6792436369565218,0.5759378930434782,0.3380787714347826
BRONCHO_58,58,advanced_airway_tumor,Myeloid cells,CD141+ DCs,3,0.11122552333333331,0.04198281,0.21610695,0.18574868,0.5511150666666667,0.7806592333333334,0.46792444333333333
BRONCHO_58,58,advanced_airway_tumor,Myeloid cells,CD163+CD14+ DCs,35,0.13597016499999998,0.12153034345714285,1.4798433997142857,1.118980552,0.7114131154285714,0.868879726,0.3432346448571429
BRONCHO_58,58,advanced_airway_tumor,Myeloid cells,CD1c+ DCs,19,0.15418341642105263,0.13380944468421055,1.0061877989473684,0.26545542663157895,0.6618422568421053,0.7451228273684211,0.1071340867894737
BRONCHO_58,58,advanced_airway_tumor,Myeloid cells,Monocytes,89,0.03731585842696629,0.0768525,2.9185616775280896,0.22405210033707865,0.571568525730337,0.4136103423595505,0.11545707494382024
BRONCHO_58,58,advanced_airway_tumor,Myeloid cells,Pleural Mac,2,0.0,0.066446205,1.48347305,1.2168975050000002,0.50303251,0.63781835,0.51261468
BRONCHO_58,58,advanced_airway_tumor,Myeloid cells,Undetermined,112,0.06177904803571428,0.07393159705357143,0.31449073857142856,0.7231260601785714,0.5486796911607142,0.4518718811607143,0.2604777938392857
BRONCHO_58,58,advanced_airway_tumor,Myeloid cells,mo-Mac,204,0.12420542976470589,0.08486628599019608,1.0642365313235294,1.9848214127941177,0.616647821372549,0.7474296707352941,0.27148490926470586
BRONCHO_58,58,advanced_airway_tumor,Myeloid cells,pDCs,3,0.0,0.7920549533333334,0.0,0.11503633333333334,0.53100711,0.3629414066666667,0.33296335666666665
BRONCHO_58,58,advanced_airway_tumor,NK cells,CD8 low T,1,0.0,2.8534133,0.0,0.0,0.49679604,0.0,0.0
BRONCHO_58,58,advanced_airway_tumor,NK cells,Cytotoxic CD8+ T,1,0.52944547,2.9044607,0.26472273,0.0,0.0,0.26472273,0.0
BRONCHO_58,58,advanced_airway_tumor,NK cells,NK,68,0.14408764970588236,3.022573770588235,0.10856270764705883,0.07367344249999999,0.2819504514705882,0.3594651898529411,0.11254871294117648
BRONCHO_58,58,advanced_airway_tumor,T lymphocytes,CD4+ Th,170,0.22943059211764705,0.4639957335882353,0.12377894447058824,0.07047988564705882,0.38844053158823527,0.4622361984117647,0.17733689970588237
BRONCHO_58,58,advanced_airway_tumor,T lymphocytes,CD8 low T,121,0.29862615520661157,1.3667827159504131,0.12455424256198348,0.06343306636363637,0.32050811999999995,0.4379284996694215,0.15091834363636364
BRONCHO_58,58,advanced_airway_tumor,T lymphocytes,CD8+/CD4+ Mixed Th,6,0.21164781833333332,0.048472205,0.20443820833333334,0.2862777033333333,0.4208583166666666,0.44515045666666664,0.20283519333333336
BRONCHO_58,58,advanced_airway_tumor,T lymphocytes,Cytotoxic CD8+ T,43,0.2550353630232558,2.0541156376744185,0.18109607,0.08279673930232558,0.3700823009302326,0.3690221779069768,0.18978419
BRONCHO_58,58,advanced_airway_tumor,T lymphocytes,Exhausted CD8+ T,342,0.543792099122807,1.6427217168421053,0.11647096230994151,0.07958804473684211,0.3625265492397661,0.4554155803508772,0.22415681073099417
BRONCHO_58,58,advanced_airway_tumor,T lymphocytes,Exhausted Tfh,8,0.658389315,0.36498917625000005,0.21107623375,0.16793074375,0.44877642,0.59410408125,0.10623485125
BRONCHO_58,58,advanced_airway_tumor,T lymphocytes,NK,26,0.19402269115384613,2.356898073076923,0.09290813923076922,0.11935661038461538,0.2991814076923077,0.3865629680769231,0.147332535
BRONCHO_58,58,advanced_airway_tumor,T lymphocytes,Naive CD4+ T,95,0.12667548189473685,0.11487394663157896,0.08239994978947368,0.06882496315789474,0.2727866534736842,0.3535438178947368,0.15592912715789473
BRONCHO_58,58,advanced_airway_tumor,T lymphocytes,Naive CD8+ T,45,0.21965606644444446,1.070922506,0.1406982502222222,0.06510798333333333,0.334479356,0.436168874,0.18570672466666666
BRONCHO_58,58,advanced_airway_tumor,T lymphocytes,Treg,293,0.5922753281228669,0.15060146119453927,0.10160134627986349,0.08223026634812287,0.2715873804095563,0.5098204531399317,0.16098261825938565
BRONCHO_58,58,advanced_airway_tumor,T lymphocytes,Undetermined,24,0.5315614845833333,1.2273933141666666,0.14504773458333334,0.08777138000000001,0.5546183291666666,0.6876782933333333,1.8233767425
EBUS_06,6,advanced_airway_tumor,B lymphocytes,Follicular B cells,100,0.005481799300000001,0.016653773,0.0490495813,0.0784180281,0.1651063754,0.1945345035,0.1341975067
EBUS_06,6,advanced_airway_tumor,B lymphocytes,MALT B cells,7,0.0,0.08085129371428572,0.10722782714285715,0.12349765857142857,0.3166943171428572,0.36872554714285716,0.08129430714285714
EBUS_06,6,advanced_airway_tumor,B lymphocytes,Plasma cells,2,0.0,0.550055775,0.0,0.098110325,0.070290705,0.199525935,0.0
EBUS_06,6,advanced_airway_tumor,B lymphocytes,Undetermined,2,0.0,0.298874975,0.0,0.09161774,0.33738683,0.30660316499999996,0.09161774
EBUS_06,6,advanced_airway_tumor,Epithelial cells,Malignant cells,1186,0.0016880154612141651,0.03634309526812816,0.06758291031871838,0.38509061013490725,0.04486312006576729,0.665368660682968,0.6366454543929174
EBUS_06,6,advanced_airway_tumor,Fibroblasts,Mesothelial cells,1,0.0,0.063959636,0.031979818,0.17766511,1.0980694,0.57625014,0.36021802
EBUS_06,6,advanced_airway_tumor,Fibroblasts,Pericytes,1,0.0,0.0,0.0,0.15459456,0.5295914,0.44127688,0.15459456
EBUS_06,6,advanced_airway_tumor,Fibroblasts,Tumor ECs,2,0.0,0.139635875,0.023049035,0.159504265,0.41834155,0.63738919,0.17722275
EBUS_06,6,advanced_airway_tumor,Myeloid cells,CD1c+ DCs,1,0.13782531,0.13782531,1.012479,0.21221925,0.6569719,0.47569194,0.13782531
EBUS_06,6,advanced_airway_tumor,Myeloid cells,Monocytes,206,0.047918210533980585,0.03652035907766991,3.097840006067961,0.15636244252427187,0.6123112475728155,0.3232998530097087,0.18049628854368932
EBUS_06,6,advanced_airway_tumor,Myeloid cells,Pleural Mac,1,0.25675395,0.0,0.17358643,2.1157196,0.36886317,0.34717286,0.0
EBUS_06,6,advanced_airway_tumor,Myeloid cells,Undetermined,11,0.05717180454545454,0.16124025954545454,0.13091361363636364,1.2581877672727273,0.45282451363636367,0.3067637872727273,0.14406235681818183
EBUS_06,6,advanced_airway_tumor,Myeloid cells,mo-Mac,160,0.09984214609375,0.046953381174999996,0.9709556215875,2.1053774501875,0.5359509735,0.399956084025,0.22353327262499997
EBUS_06,6,advanced_airway_tumor,Myeloid cells,pDCs,1,0.0,0.58213586,0.0,0.20650111,0.3692601,0.5918973,0.39672568
EBUS_06,6,advanced_airway_tumor,NK cells,Cytotoxic CD8+ T,1,0.0,2.2472298,0.0,0.5225292,0.0,0.2612646,0.2612646
EBUS_06,6,advanced_airway_tumor,NK cells,NK,72,0.14664390569444444,3.0293742291666668,0.06018313152777778,0.09376505597222223,0.27047488208333337,0.4068222079166667,0.12699609666666667
EBUS_06,6,advanced_airway_tumor,T lymphocytes,CD4+ Th,33,0.050600234545454544,0.4169700903030303,0.05203149333333334,0.09070201636363635,0.3470262290909091,0.4298567115151515,0.17977715787878787
EBUS_06,6,advanced_airway_tumor,T lymphocytes,CD8 low T,67,0.20708413194029848,1.352225158358209,0.07214247671641791,0.10981017313432836,0.3387849004477612,0.3901667144776119,0.19496819164179105
EBUS_06,6,advanced_airway_tumor,T lymphocytes,Cytotoxic CD8+ T,49,0.0985782481632653,1.9854494897959183,0.06276126612244898,0.08861938408163265,0.3890213397959184,0.4149767604081632,0.16887121530612245
EBUS_06,6,advanced_airway_tumor,T lymphocytes,Exhausted CD8+ T,21,0.40854671571428575,1.7680920523809525,0.05792487,0.11879464047619048,0.34001251047619047,0.3924324819047619,0.2140046838095238
EBUS_06,6,advanced_airway_tumor,T lymphocytes,Exhausted Tfh,1,0.49866703,1.6344432,0.0,0.0,0.21371445,1.1977258,0.0
EBUS_06,6,advanced_airway_tumor,T lymphocytes,NK,13,0.14915222076923076,2.2116618153846153,0.15201000923076924,0.04622448307692307,0.31343721769230765,0.2748184923076923,0.15488724307692306
EBUS_06,6,advanced_airway_tumor,T lymphocytes,Naive CD4+ T,111,0.03974814477477478,0.17887123207207206,0.06099540432432433,0.08734863612612613,0.35333000117117114,0.33550546243243246,0.14893566423423424
EBUS_06,6,advanced_airway_tumor,T lymphocytes,Naive CD8+ T,32,0.16746634625,1.1376245675,0.039417170937499996,0.1007713734375,0.320202798125,0.3530649971875,0.18296336531250001
EBUS_06,6,advanced_airway_tumor,T lymphocytes,Treg,9,0.25560114,0.22483807333333333,0.0,0.1049578,0.33284199000000003,0.44042661888888884,0.2453391033333333
EBUS_06,6,advanced_airway_tumor,T lymphocytes,Undetermined,6,0.25776261500000003,1.8339907966666669,0.02573756166666667,0.162077785,0.38759149666666665,0.7771739283333333,1.4720590166666667
EBUS_10,10,advanced_airway_tumor,B lymphocytes,Follicular B cells,1723,0.008090300864770748,0.013904811242019734,0.09694200507254788,0.08030528928032502,0.13750371681717932,0.24161374841555425,0.09060719860127683
EBUS_10,10,advanced_airway_tumor,B lymphocytes,GC B cells in the DZ,147,0.04337545127891156,0.018744357102040816,0.09653339097959183,0.08593701755782313,0.1727809542244898,0.6692279335374149,1.6923936847619048
EBUS_10,10,advanced_airway_tumor,B lymphocytes,GC B cells in the LZ,109,0.07662391697247706,0.009821504495412844,0.08493264495412843,0.09774286201834863,0.058814034403669724,0.40093146577981653,0.3036119439449541
EBUS_10,10,advanced_airway_tumor,B lymphocytes,MALT B cells,145,0.022963342862068966,0.08536460240689656,0.12220933079310345,0.11937691794482758,0.16259890773793104,0.3773344323448276,0.3340239713517241
EBUS_10,10,advanced_airway_tumor,B lymphocytes,Plasma cells,15,0.0,0.0029904765333333334,0.093272806,0.06946394533333335,0.0226352818,0.21031634866666668,0.0075000932
EBUS_10,10,advanced_airway_tumor,B lymphocytes,Undetermined,227,0.07623751592511013,0.13976121645374448,0.12471643236123349,0.08839469771365638,0.364783809339207,0.33867498061674006,0.1401760491013216
EBUS_10,10,advanced_airway_tumor,Epithelial cells,Malignant cells,367,0.007165168044959128,0.0315643641852861,0.775046165291553,0.18988282979564033,0.16044222782833786,1.0571167116621254,0.47466734410626704
EBUS_10,10,advanced_airway_tumor,Fibroblasts,COL13A1+ matrix FBs,3,0.0,0.04522211,0.04179494,0.04522211,1.0722470466666667,0.19457223333333332,0.04179494
EBUS_10,10,advanced_airway_tumor,Fibroblasts,Lymphatic ECs,4,0.0,0.0,0.135301269,0.3835669975,0.562153335,0.5995641525,0.2224130875
EBUS_10,10,advanced_airway_tumor,Fibroblasts,Myofibroblasts,4,0.0,0.0,0.11577158000000001,0.244982255,1.394461775,0.4725726425,0.185192575
EBUS_10,10,advanced_airway_tumor,Myeloid cells,Activated DCs,10,0.046556462,0.015211268,0.2843500885,0.22292952449999998,0.622875244,0.551522521,0.194890696
EBUS_10,10,advanced_airway_tumor,Myeloid cells,Alveolar Mac,6,0.078755315,0.056698154,1.3682861333333334,1.7407155550000002,0.612526705,0.6803723683333334,0.118874369
EBUS_10,10,advanced_airway_tumor,Myeloid cells,CD141+ DCs,7,0.38180125000000004,0.11270343428571428,0.27198664857142857,0.22490611857142856,0.4220669907142857,0.5681342414285714,0.0
