sample,patient_id,tissue_site,cell_type_clean,n_cells,total_cells,fraction
NS_16,16,non_smoker_lung,NK cells,24,1317,0.018223234624145785
NS_16,16,non_smoker_lung,Oligodendrocytes,394,1317,0.29916476841306
NS_16,16,non_smoker_lung,T lymphocytes,361,1317,0.2741078208048595
NS_17,17,non_smoker_lung,B lymphocytes,70,2409,0.029057700290577002
NS_17,17,non_smoker_lung,Epithelial cells,1117,2409,0.46367787463677873
NS_17,17,non_smoker_lung,Fibroblasts,88,2409,0.0365296803652968
NS_17,17,non_smoker_lung,MAST cells,4,2409,0.0016604400166044002
NS_17,17,non_smoker_lung,Myeloid cells,651,2409,0.27023661270236615
NS_17,17,non_smoker_lung,NK cells,28,2409,0.011623080116230802
NS_17,17,non_smoker_lung,Oligodendrocytes,69,2409,0.028642590286425903
NS_17,17,non_smoker_lung,T lymphocytes,382,2409,0.1585720215857202
NS_19,19,non_smoker_lung,B lymphocytes,74,3300,0.022424242424242423
NS_19,19,non_smoker_lung,Epithelial cells,756,3300,0.2290909090909091
NS_19,19,non_smoker_lung,Fibroblasts,170,3300,0.051515151515151514
NS_19,19,non_smoker_lung,Myeloid cells,1911,3300,0.5790909090909091
NS_19,19,non_smoker_lung,NK cells,56,3300,0.01696969696969697
NS_19,19,non_smoker_lung,Oligodendrocytes,19,3300,0.005757575757575757
NS_19,19,non_smoker_lung,T lymphocytes,314,3300,0.09515151515151515
