tissue_site,cell_type_clean,Cell_subtype,total_cells,n_sample_subtypes,mean_cells_per_sample,T_CELL_EXHAUSTION,CYTOTOXICITY,MYELOID_INFLAMMATION,MACROPHAGE_LIKE,EMT_INVASION,HYPOXIA,PROLIFERATION
normal_lung,Myeloid cells,CD141+ DCs,32,1,32.0,0.206510158125,0.03708075375,0.093292768125,0.2900548828125,0.5757177046875,0.5343029878125,0.0520573389375
normal_lung,Myeloid cells,CD163+CD14+ DCs,58,1,58.0,0.07998758594827586,0.15504484300000002,1.0837323772413794,1.3116715291379308,0.7716761889655173,0.5967294567241379,0.24851469801724138
normal_lung,Myeloid cells,CD1c+ DCs,870,10,87.0,0.09147619959261423,0.08931095557894349,0.7880943264418105,0.6360215954386408,0.7087188146781789,0.5611108900977866,0.11276596113260688
normal_lung,Myeloid cells,Monocytes,2319,11,210.8181818181818,0.03051034941812879,0.1076569396481725,2.158320591762237,0.38551052601162433,0.6065589091457373,0.3886338013034811,0.07991723326097866
normal_lung,Myeloid cells,Pleural Mac,25,1,25.0,0.040380965799999995,0.025295600399999996,1.0454699808,0.8020834876,0.514088938,0.3595076208,0.06538313800000001
normal_lung,Myeloid cells,Undetermined,21,1,21.0,0.10236925428571428,0.04284562380952381,0.39139553095238094,1.5678973428571428,0.5413373266666667,0.3579029757142857,0.23305121714285715
normal_lung,Myeloid cells,mo-Mac,801,10,80.1,0.07580918812618966,0.10361379388655474,0.9000337227813076,1.980455274831284,0.6094818852798808,0.34420404615647265,0.18760369876504418
normal_lung,NK cells,NK,4195,11,381.3636363636364,0.18485173768767113,2.823412683897062,0.10849771392293976,0.25628042543172,0.3231321279792747,0.34115337896886394,0.15443941565536207
normal_lung,T lymphocytes,CD4+ Th,3101,11,281.90909090909093,0.09697268775589213,0.5087181389664895,0.10903707853179348,0.25182557971219843,0.48011343495247266,0.41210316306355155,0.1584612762483432
normal_lung,T lymphocytes,CD8 low T,651,11,59.18181818181818,0.1628551898708717,1.5838397841213234,0.11979608387948701,0.25641244227882626,0.37050808984967465,0.3428949632715511,0.17430690959601558
normal_lung,T lymphocytes,Cytotoxic CD8+ T,2028,11,184.36363636363637,0.18098956802453806,1.9154937123683644,0.11906996869481362,0.2644905563819917,0.38815887131727,0.36061033046593327,0.1795195164745382
normal_lung,T lymphocytes,Exhausted CD8+ T,70,2,35.0,0.2832584994666667,1.4450992663777775,0.07932454873333333,0.20758714173333334,0.4918989632444444,0.43431474151111116,0.2792807138222222
normal_lung,T lymphocytes,NK,544,10,54.4,0.2009600729574012,1.8943773867515283,0.10065992957158246,0.26943800195425033,0.38487447847334566,0.37583942728631037,0.19366118020718218
normal_lung,T lymphocytes,Naive CD4+ T,227,6,37.833333333333336,0.057685802740580196,0.12111993381062754,0.0910936424358047,0.20714872469223058,0.3371550223703225,0.32295331640187025,0.12035597385965725
normal_lung,T lymphocytes,Treg,102,4,25.5,0.4284224943500103,0.14504487586651585,0.05973703107131839,0.17549621076588853,0.36756962004997945,0.46656885938142745,0.15739506597788977
normal_lymph_node,B lymphocytes,Follicular B cells,8982,10,898.2,0.014172106312317561,0.017494598866348292,0.013833184929928327,0.03149046815527094,0.15658507168625432,0.1627103550265587,0.09289883187709033
normal_lymph_node,B lymphocytes,GC B cells in the DZ,149,5,29.8,0.041057616503968254,0.02605353044936508,0.024048416281825396,0.06396390278452381,0.13679172021777777,0.6215523472936508,1.6530117337452381
normal_lymph_node,B lymphocytes,GC B cells in the LZ,49,2,24.5,0.06221372223063973,0.011572220109427609,0.01520071393097643,0.025970226136363638,0.03217071170875421,0.2804344467845118,0.208775100513468
normal_lymph_node,B lymphocytes,MALT B cells,477,6,79.5,0.01095301546268501,0.03755737894393314,0.011677642434353736,0.07217378138743115,0.19469218891558993,0.15720405700028459,0.06615434062782242
normal_lymph_node,B lymphocytes,Plasma cells,462,8,57.75,0.010267279587484027,0.02403308897464254,0.00950498804660651,0.04703028638468078,0.07178092747135226,0.0785237133502768,0.02752876717144756
normal_lymph_node,B lymphocytes,Undetermined,204,5,40.8,0.11046683242340571,0.18366292589262523,0.023844653220918367,0.046137048654785094,0.24441326169378136,0.2818244566611543,0.1670366508476433
normal_lymph_node,Myeloid cells,Activated DCs,64,2,32.0,0.039153615375,0.017146694599999998,0.08860713479545455,0.14351923127272728,0.44875775590909095,0.3897459587045454,0.11097997823636363
normal_lymph_node,Myeloid cells,CD1c+ DCs,121,4,30.25,0.07594335623624214,0.032322658799724846,0.7542351905306603,0.24733103418011004,0.5048696228443397,0.48082072072130505,0.1667666922557783
normal_lymph_node,Myeloid cells,Undetermined,868,10,86.8,0.04072795359258191,0.022922030928272493,0.20849278309867056,0.7201209146487064,0.5135257565754758,0.37603586794853705,0.16552701695497202
normal_lymph_node,T lymphocytes,CD4+ Th,1151,9,127.88888888888889,0.09000929576630409,0.4004689173781161,0.02758015009087769,0.03171525534458495,0.3178270905680357,0.31555897791919985,0.16585231817164478
