tissue_site,cell_type_clean,Cell_subtype,n_cells,total_cells,fraction
normal_lymph_node,Myeloid cells,pDCs,2,31350,6.379585326953749e-05
normal_lymph_node,T lymphocytes,CD4+ Th,1159,31350,0.03696969696969697
normal_lymph_node,T lymphocytes,CD8 low T,921,31350,0.02937799043062201
normal_lymph_node,T lymphocytes,CD8+/CD4+ Mixed Th,52,31350,0.0016586921850079745
normal_lymph_node,T lymphocytes,Cytotoxic CD8+ T,185,31350,0.005901116427432217
normal_lymph_node,T lymphocytes,Exhausted CD8+ T,168,31350,0.005358851674641148
normal_lymph_node,T lymphocytes,Exhausted Tfh,1,31350,3.189792663476874e-05
normal_lymph_node,T lymphocytes,NK,307,31350,0.009792663476874004
normal_lymph_node,T lymphocytes,Naive CD4+ T,13713,31350,0.43741626794258376
normal_lymph_node,T lymphocytes,Naive CD8+ T,1317,31350,0.04200956937799043
normal_lymph_node,T lymphocytes,Treg,1516,31350,0.04835725677830941
normal_lymph_node,T lymphocytes,Undetermined,139,31350,0.004433811802232855
pleural_effusion,B lymphocytes,Follicular B cells,3019,15540,0.19427284427284428
pleural_effusion,B lymphocytes,GC B cells in the DZ,1,15540,6.435006435006435e-05
pleural_effusion,B lymphocytes,GrB-secreting B cells,1,15540,6.435006435006435e-05
pleural_effusion,B lymphocytes,MALT B cells,109,15540,0.007014157014157014
pleural_effusion,B lymphocytes,Plasma cells,3,15540,0.00019305019305019305
pleural_effusion,B lymphocytes,Undetermined,152,15540,0.009781209781209782
pleural_effusion,Myeloid cells,Activated DCs,75,15540,0.004826254826254826
pleural_effusion,Myeloid cells,Alveolar Mac,2,15540,0.0001287001287001287
pleural_effusion,Myeloid cells,CD141+ DCs,42,15540,0.002702702702702703
pleural_effusion,Myeloid cells,CD163+CD14+ DCs,5,15540,0.00032175032175032174
pleural_effusion,Myeloid cells,CD1c+ DCs,49,15540,0.003153153153153153
pleural_effusion,Myeloid cells,Microglia/Mac,1,15540,6.435006435006435e-05
pleural_effusion,Myeloid cells,Monocytes,8,15540,0.0005148005148005148
pleural_effusion,Myeloid cells,Pleural Mac,2713,15540,0.17458172458172458
pleural_effusion,Myeloid cells,Undetermined,142,15540,0.009137709137709138
pleural_effusion,Myeloid cells,mo-Mac,26,15540,0.0016731016731016731
pleural_effusion,NK cells,CD8 low T,47,15540,0.0030244530244530245
pleural_effusion,NK cells,Cytotoxic CD8+ T,26,15540,0.0016731016731016731
pleural_effusion,NK cells,Exhausted CD8+ T,15,15540,0.0009652509652509653
pleural_effusion,NK cells,NK,514,15540,0.033075933075933074
pleural_effusion,NK cells,Naive CD4+ T,5,15540,0.00032175032175032174
pleural_effusion,NK cells,Naive CD8+ T,20,15540,0.001287001287001287
pleural_effusion,NK cells,Treg,1,15540,6.435006435006435e-05
pleural_effusion,NK cells,Undetermined,2,15540,0.0001287001287001287
pleural_effusion,T lymphocytes,CD4+ Th,30,15540,0.0019305019305019305
pleural_effusion,T lymphocytes,CD8 low T,1644,15540,0.10579150579150579
pleural_effusion,T lymphocytes,Cytotoxic CD8+ T,123,15540,0.007915057915057915
pleural_effusion,T lymphocytes,Exhausted CD8+ T,423,15540,0.02722007722007722
pleural_effusion,T lymphocytes,NK,3,15540,0.00019305019305019305
pleural_effusion,T lymphocytes,Naive CD4+ T,4360,15540,0.2805662805662806
pleural_effusion,T lymphocytes,Naive CD8+ T,1398,15540,0.08996138996138996
pleural_effusion,T lymphocytes,Treg,518,15540,0.03333333333333333
pleural_effusion,T lymphocytes,Undetermined,63,15540,0.004054054054054054
primary_tumor,B lymphocytes,Follicular B cells,3580,38489,0.09301358829795527
primary_tumor,B lymphocytes,GC B cells in the DZ,70,38489,0.001818701447166723
primary_tumor,B lymphocytes,GC B cells in the LZ,92,38489,0.0023902933305619788
primary_tumor,B lymphocytes,MALT B cells,1126,38489,0.029255111850139
primary_tumor,B lymphocytes,Plasma cells,314,38489,0.008158175063005015
primary_tumor,B lymphocytes,Undetermined,130,38489,0.003377588401881057
primary_tumor,Endothelial cells,EPCs,8,38489,0.0002078515939619112
primary_tumor,Endothelial cells,Lymphatic ECs,73,38489,0.0018966457949024396
primary_tumor,Endothelial cells,Stalk-like ECs,103,38489,0.0026760892722596068
primary_tumor,Endothelial cells,Tip-like ECs,168,38489,0.004364883473200135
primary_tumor,Endothelial cells,Tumor ECs,274,38489,0.007118917093195458
primary_tumor,Epithelial cells,tS1,3270,38489,0.0849593390319312
primary_tumor,Epithelial cells,tS2,3018,38489,0.078412013822131
primary_tumor,Epithelial cells,tS3,64,38489,0.0016628127516952896
primary_tumor,Fibroblasts,COL13A1+ matrix FBs,703,38489,0.018264958819402946
primary_tumor,Fibroblasts,COL14A1+ matrix FBs,390,38489,0.010132765205643171
primary_tumor,Fibroblasts,EPCs,1,38489,2.59814492452389e-05
primary_tumor,Fibroblasts,Mesothelial cells,21,38489,0.0005456104341500169
primary_tumor,Fibroblasts,Myofibroblasts,245,38489,0.0063654550650835305
primary_tumor,Fibroblasts,Pericytes,45,38489,0.0011691652160357505
primary_tumor,Fibroblasts,Smooth muscle cells,139,38489,0.003611421445088207
primary_tumor,Fibroblasts,Undetermined,111,38489,0.002883940866221518
primary_tumor,MAST cells,MAST,1809,38489,0.04700044168463717
primary_tumor,Myeloid cells,Activated DCs,154,38489,0.00400114318376679
primary_tumor,Myeloid cells,Alveolar Mac,1324,38489,0.034399438800696305
primary_tumor,Myeloid cells,CD141+ DCs,95,38489,0.0024682376782976957
primary_tumor,Myeloid cells,CD163+CD14+ DCs,660,38489,0.017147756501857674
primary_tumor,Myeloid cells,CD1c+ DCs,528,38489,0.01371820520148614
primary_tumor,Myeloid cells,CD207+CD1a+ LCs,87,38489,0.002260386084335784
primary_tumor,Myeloid cells,Monocytes,639,38489,0.016602146067707657
primary_tumor,Myeloid cells,Pleural Mac,29,38489,0.000753462028111928
primary_tumor,Myeloid cells,Undetermined,484,38489,0.012575021434695627
primary_tumor,Myeloid cells,mo-Mac,4678,38489,0.12154121956922757
primary_tumor,Myeloid cells,pDCs,116,38489,0.003013848112447712
primary_tumor,NK cells,CD4+ Th,1,38489,2.59814492452389e-05
primary_tumor,NK cells,CD8 low T,9,38489,0.0002338330432071501
